"","Provider.State","County","Provider.Name","WeeksofShortage_of_EP_by_Provider","WeeksofShortage_of_GL_by_Provider","WeeksofShortage_of_HS_by_Provider","WeeksofShortage_of_N95_by_Provider","WeeksofShortage_of_SM_by_Provider","WeeksofShortage_of_VT_by_Provider"
"1234","IA","Lee","MONTROSE HEALTH CENTER",9,9,9,10,9,NA
"1235","IA","Lee","THE MADISON",24,1,1,25,23,NA
"1236","IA","Linn","CRESTVIEW ACRES",10,13,10,13,10,NA
"1237","IA","Linn","HALLMARK CARE CENTER",24,NA,24,24,24,NA
"1238","IA","Linn","HIAWATHA CARE CENTER",18,21,18,23,21,NA
"1239","IA","Linn","LINN MANOR CARE CENTER",1,1,1,1,1,NA
"1240","IA","Linn","LIVING CENTER WEST",9,1,4,3,12,NA
"1241","IA","Linn","MANORCARE HEALTH SERVICES",11,NA,NA,25,15,NA
"1242","IA","Linn","METH-WICK HEALTH CENTER",4,2,2,6,2,NA
"1243","IA","Linn","REHABILITATION CENTER OF LISBON",24,NA,24,24,24,NA
"1244","IA","Linn","ST LUKE'S HELEN G NASSIF TRANSITIONAL CARE CENTER",2,NA,6,10,NA,NA
"1245","IA","Linn","TERRACE GLEN VILLAGE",1,1,1,1,1,NA
"1246","IA","Linn","THE GARDENS OF CEDAR RAPIDS",1,1,1,27,24,NA
"1247","IA","Linn","WEST RIDGE CARE CENTER",36,37,36,37,36,NA
"1248","IA","Linn","WILLOW GARDENS CARE CENTER",3,2,4,23,11,NA
"1249","IA","Linn","WINSLOW HOUSE CARE CENTER",2,5,NA,13,6,NA
"1250","IA","Louisa","MORNING SUN CARE CENTER",24,NA,24,24,24,NA
"1251","IA","Louisa","WAPELLO SPECIALTY CARE",25,25,25,26,25,NA
"1252","IA","Lyon","LYON SPECIALTY CARE",3,11,11,16,NA,NA
"1253","IA","Madison","QHC WINTERSET NORTH, LLC",8,7,5,15,7,NA
"1254","IA","Marion","JEFFERSON PLACE",30,30,30,30,30,NA
"1255","IA","Marion","THE COTTAGES",4,3,3,7,3,NA
"1256","IA","Marion","WEST RIDGE SPECIALTY CARE",17,13,3,34,10,NA
"1257","IA","Marshall","GRANDVIEW HEIGHTS INC",1,NA,NA,3,NA,NA
"1258","IA","Mills","GLEN HAVEN HOME",18,8,NA,30,28,NA
"1259","IA","Mills","ON WITH LIFE AT GLENWOOD",23,23,19,23,23,NA
"1260","IA","Mitchell","OSAGE REHAB AND HEALTH CARE CENTER",31,4,1,34,32,NA
"1261","IA","Monona","ELMWOOD CARE CENTRE",32,6,1,34,32,NA
"1262","IA","Monroe","OAKWOOD SPECIALTY CARE",3,3,3,3,3,NA
"1263","IA","Montgomery","RED OAK REHAB AND CARE CENTER",19,NA,NA,29,18,NA
"1264","IA","Muscatine","PEARL VALLEY REHABILITATION AND HEALTHCARE CENTER",2,NA,NA,1,NA,NA
"1265","IA","Muscatine","PREMIER ESTATES OF MUSCATINE",6,4,NA,11,13,NA
"1266","IA","Muscatine","SIMPSON MEMORIAL HOME",3,1,1,2,1,NA
"1267","IA","Muscatine","WILTON RETIREMENT COMMUNITY",2,1,1,2,2,NA
"1268","IA","Page","ACCURA HEALTHCARE OF SHENANDOAH",3,NA,NA,3,4,NA
"1269","IA","Page","GOLDENROD MANOR",4,4,4,4,4,NA
"1270","IA","Palo Alto","EMMETSBURG CARE CENTER",24,NA,24,24,24,NA
"1271","IA","Palo Alto","PALO ALTO COUNTY HOSPITAL",1,1,1,2,1,NA
"1272","IA","Plymouth","AKRON  CARE CENTER, INC",7,3,3,3,3,NA
"1273","IA","Plymouth","GOOD SAMARITAN SOCIETY - LEMARS",7,8,8,8,8,NA
"1274","IA","Plymouth","HAPPY SIESTA NURSING HOME",1,NA,NA,3,1,NA
"1275","IA","Pocahontas","POCAHONTAS MANOR",1,3,NA,NA,1,NA
"1276","IA","Polk","ALTOONA NURSING AND REHABILITATION CENTER",2,1,1,5,3,NA
"1277","IA","Polk","BRIO OF JOHNSTON, LLC",34,NA,NA,33,34,NA
"1278","IA","Polk","CHILDSERVE HABILITATION CENTER",28,1,20,21,4,1
"1279","IA","Polk","DEERFIELD RETIREMENT COMMUNITY INC",1,NA,NA,NA,NA,NA
"1280","IA","Polk","EDGEWATER, A WESLEYLIFE COMMUNITY",32,31,NA,32,32,NA
"1281","IA","Polk","FLEUR HEIGHTS CENTER FOR WELLNESS AND REHAB",16,16,16,16,17,NA
"1282","IA","Polk","MANORCARE HEALTH SERVICES -WEST DES MOINES",11,NA,NA,18,11,NA
"1283","IA","Polk","MILL-POND",1,5,15,39,20,NA
"1284","IA","Polk","ON WITH LIFE",7,7,5,12,9,NA
"1285","IA","Polk","PINE ACRES REHABILITATION AND CARE CENTER LLC",3,2,2,20,6,NA
"1286","IA","Polk","REHABILITATION CENTER OF DES MOINES",3,2,2,2,2,NA
"1287","IA","Polk","SCOTTISH RITE PARK INC",10,2,2,19,17,NA
"1288","IA","Polk","THE BRIDGES AT ANKENY",4,1,1,2,4,NA
"1289","IA","Polk","UNIVERSITY PARK NURSING & REHABILITATION CENTER",1,1,1,1,1,NA
"1290","IA","Polk","WESLEY ACRES",32,1,1,32,32,NA
"1291","IA","Pottawattamie","AVOCA SPECIALTY CARE",1,NA,NA,NA,NA,NA
"1292","IA","Pottawattamie","BETHANY LUTHERAN HOME",1,1,1,2,1,NA
"1293","IA","Pottawattamie","MIDLANDS LIVING CENTER L L C",2,1,1,4,2,NA
"1294","IA","Pottawattamie","RISEN SON CHRISTIAN VILLAGE",29,4,NA,40,15,NA
"1295","IA","Poweshiek","BROOKLYN COMMUNITY ESTATES",4,NA,NA,4,4,NA
"1296","IA","Ringgold","MOUNT AYR HEALTH CARE CENTER",18,18,18,18,19,NA
"1297","IA","Sac","BLACKHAWK LIFE CARE CENTER",4,4,3,6,5,NA
"1298","IA","Sac","PARK VIEW REHABILITATION CENTER",24,NA,24,24,24,NA
"1299","IA","Scott","DAVENPORT LUTHERAN HOME",1,1,1,1,1,NA
"1300","IA","Scott","GOOD SAMARITAN SOCIETY - DAVENPORT",12,NA,NA,18,15,NA
"1301","IA","Scott","MANORCARE HEALTH SERVICES",17,NA,NA,27,4,NA
"1302","IA","Scott","MANORCARE HEALTH SERVICES-UTICA RIDGE",2,1,1,4,1,NA
"1303","IA","Scott","RIDGECREST VILLAGE",2,NA,NA,15,5,NA
"1304","IA","Sioux","HILLCREST HEALTH CARE CENTER",2,2,2,2,3,NA
"1305","IA","Story","GREEN HILLS HEALTH CARE CENTER",1,1,1,3,1,NA
"1306","IA","Story","ROLLING GREEN VILLAGE CARE CEN",24,NA,24,24,24,NA
"1307","IA","Tama","PREMIER ESTATES OF TOLEDO",1,2,NA,4,5,NA
"1308","IA","Tama","SUNNY HILL CARE CENTER",7,6,1,18,25,NA
"1309","IA","Tama","WESTBROOK ACRES",3,1,1,29,1,NA
"1310","IA","Wapello","GOOD SAMARITAN SOCIETY - OTTUMWA",1,1,1,3,1,NA
"1311","IA","Wapello","VISTA WOODS CARE CENTER",2,2,2,2,2,NA
"1312","IA","Warren","CARLISLE CENTER FOR WELLNESS AND REHAB",1,NA,NA,4,NA,NA
"1313","IA","Warren","THE VILLAGE",3,3,3,3,3,NA
"1314","IA","Warren","WESTVIEW OF INDIANOLA CARE CENTER",24,NA,24,24,24,NA
"1315","IA","Washington","HALCYON HOUSE",7,NA,NA,30,6,NA
"1316","IA","Washington","PARKVIEW MANOR",1,1,1,1,1,NA
"1317","IA","Washington","PEARL VALLEY REHABILITATION & HEALTHCARE CENTER O",1,NA,NA,NA,NA,NA
"1318","IA","Washington","UNITED PRESBYTERIAN HOME",1,1,NA,NA,1,NA
"1319","IA","Webster","FRIENDSHIP HAVEN, INC",5,5,5,5,5,NA
"1320","IA","Webster","GRANDVIEW HEALTH CARE CENTER",7,4,NA,12,15,NA
"1321","IA","Webster","QHC FORT DODGE VILLA , LLC",1,7,NA,4,NA,NA
"1322","IA","Winnebago","LAKE MILLS CARE CENTER",24,NA,24,24,24,NA
"1323","IA","Winnebago","TIMELY MISSION NURSING HOME",7,4,3,14,7,NA
"1324","IA","Winneshiek","AASE HAUGEN HOME",1,1,1,10,9,NA
"1325","IA","Winneshiek","WELLINGTON PLACE",9,NA,NA,10,10,NA
"1326","IA","Woodbury","ACCURA HEALTHCARE OF SIOUX CITY, LLC",1,3,1,13,1,NA
"1327","IA","Woodbury","COUNTRYSIDE HEALTH CARE CENTER",3,3,NA,5,3,NA
"1328","IA","Woodbury","PIONEER VALLEY LIVING AND REHAB",1,1,1,1,1,NA
"1329","IA","Woodbury","TOUCHSTONE HEALTHCARE COMMUNITY",1,1,1,1,1,NA
"1330","IA","Worth","MANLY SPECIALTY CARE",1,1,1,1,1,NA
"1331","IA","Wright","REHABILITATION CENTER OF BELMOND",24,NA,24,24,24,NA
"1332","ID","Ada","ARBOR VALLEY OF CASCADIA",4,NA,NA,7,NA,NA
"1333","ID","Ada","AVAMERE TRANSITIONAL CARE & REHABILITATION - BOISE",1,1,2,1,1,NA
"1334","ID","Ada","CASCADIA OF BOISE",7,NA,NA,NA,NA,NA
"1335","ID","Ada","GOOD SAMARITAN SOCIETY - BOISE VILLAGE",1,NA,NA,5,NA,NA
"1336","ID","Ada","LIFE CARE CENTER OF BOISE",1,1,1,6,2,NA
"1337","ID","Ada","LIFE CARE CENTER OF TREASURE VALLEY",8,11,NA,2,3,NA
"1338","ID","Ada","ST LUKE'S REHAB - ELKS SUB ACUTE REHAB UNIT",1,1,1,1,1,NA
"1339","ID","Bannock","QUINN MEADOWS REHABILITATION AND CARE CENTER",1,1,1,1,2,NA
"1340","ID","Bonneville","GOOD SAMARITAN SOCIETY - IDAHO FALLS VILLAGE",6,6,6,6,6,NA
"1341","ID","Bonneville","LIFE CARE CENTER OF IDAHO FALLS",37,1,1,40,36,NA
"1342","ID","Bonneville","PROMONTORY POINT REHABILITATION",5,NA,NA,NA,1,NA
"1343","ID","Bonneville","TETON POST ACUTE CARE & REHABILITATION",9,4,1,14,9,NA
"1344","ID","Boundary","BOUNDARY COUNTY NURSING HOME",30,NA,NA,33,32,NA
"1345","ID","Canyon","CALDWELL CARE OF CASCADIA",2,2,2,10,2,NA
"1346","ID","Canyon","SUNNY RIDGE",20,5,6,29,21,NA
"1347","ID","Cassia","MINI-CASSIA CARE CENTER",1,NA,NA,18,NA,NA
"1348","ID","Cassia","PARKE VIEW REHABILITATION & CARE CENTER",1,1,1,1,1,NA
"1349","ID","Fremont","ASHTON MEMORIAL  LIVING CENTER",20,NA,NA,16,1,NA
"1350","ID","Kootenai","IVY COURT",1,NA,NA,1,NA,NA
"1351","ID","Kootenai","LACROSSE HEALTH & REHABILITATION CENTER",3,10,1,3,3,NA
"1352","ID","Kootenai","LIFE CARE CENTER OF COEUR D'ALENE",2,NA,NA,4,NA,NA
"1353","ID","Kootenai","LIFE CARE CENTER OF POST FALLS",8,7,7,8,8,NA
"1354","ID","Lemhi","DISCOVERY REHABILITATION AND LIVING",3,NA,NA,8,3,NA
"1355","ID","Lincoln","LINCOLN COUNTY CARE CENTER",3,2,3,12,2,NA
"1356","ID","Madison","MADISON CARRIAGE COVE SHORT STAY REHABILITATION",22,8,2,38,7,NA
"1357","ID","Minidoka","COUNTRYSIDE CARE & REHABILITATION",1,1,1,1,2,NA
"1358","ID","Nez Perce","LIFE CARE CENTER OF LEWISTON",1,1,NA,15,2,NA
"1359","ID","Nez Perce","PRESTIGE CARE & REHABILITATION - THE ORCHARDS",1,1,1,1,1,NA
"1360","ID","Nez Perce","ROYAL PLAZA HEALTH & REHABILITATION",4,NA,2,7,3,NA
"1361","ID","Shoshone","GOOD SAMARITAN SOCIETY - SILVER WOOD VILLAGE",1,NA,1,13,1,NA
"1362","ID","Shoshone","MOUNTAIN VALLEY OF CASCADIA",1,NA,NA,NA,NA,NA
"1363","ID","Twin Falls","BRIDGEVIEW ESTATES",12,NA,NA,11,9,NA
"1364","IL","Adams","GOLDEN GOOD SHEPHERD HOME",1,1,NA,1,NA,NA
"1365","IL","Adams","GOOD SAMARITAN HOME",3,1,1,1,1,NA
"1366","IL","Boone","SYMPHONY MAPLE CREST",2,2,2,2,2,NA
"1367","IL","Bureau","MANOR COURT OF PRINCETON",1,1,1,6,1,NA
"1368","IL","Calhoun","CALHOUN NURSING & REHAB CENTER",1,NA,NA,4,2,NA
"1369","IL","Carroll","BIG MEADOWS",1,2,NA,2,NA,NA
"1370","IL","Cass","HERITAGE HEALTH-BEARDSTOWN",6,6,6,6,6,NA
"1371","IL","Cass","WALKER NURSING HOME",1,1,1,1,1,NA
"1372","IL","Champaign","COUNTRY HEALTH",2,1,1,2,1,NA
"1373","IL","Christian","HERITAGE HEALTH-PANA",9,2,3,1,2,NA
"1374","IL","Christian","TAYLORVILLE SKLD NUR & REHAB",3,3,3,3,3,NA
"1375","IL","Clark","HEARTLAND NURSING & REHAB",1,1,1,1,1,NA
"1376","IL","Clay","FLORA GARDENS CARE CENTER",1,2,NA,3,5,NA
"1377","IL","Clay","FLORA REHAB & HEALTH CARE CTR",7,2,NA,8,NA,NA
"1378","IL","Coles","HILLTOP SKILLED NSG & REHAB",3,1,1,2,1,NA
"1379","IL","Coles","MATTOON REHAB & HCC",2,5,1,4,2,NA
"1380","IL","Cook","ADMIRAL AT THE LAKE, THE",2,NA,NA,NA,1,NA
"1381","IL","Cook","ALDEN ESTATES OF SKOKIE",1,NA,NA,NA,7,NA
"1382","IL","Cook","ALDEN NORTH SHORE REHAB & HCC",5,NA,2,2,14,NA
"1383","IL","Cook","APERION CARE BURBANK",1,1,1,1,1,NA
"1384","IL","Cook","APERION CARE CHICAGO HEIGHTS",1,4,1,2,1,NA
"1385","IL","Cook","APERION CARE EVANSTON",1,1,1,1,1,NA
"1386","IL","Cook","APERION CARE PLUM GROVE",2,2,2,2,2,NA
"1387","IL","Cook","APERION CARE WEST RIDGE",5,5,5,5,5,NA
"1388","IL","Cook","ASTORIA PLACE LIVING & REHAB",24,28,22,25,24,NA
"1389","IL","Cook","CARLTON AT THE LAKE, THE",40,18,9,41,41,NA
"1390","IL","Cook","CITADEL CARE CENTER-WILMETTE",1,1,1,1,1,NA
"1391","IL","Cook","CITADEL OF SKOKIE, THE",2,2,2,2,2,NA
"1392","IL","Cook","CLARK MANOR",33,33,32,36,33,NA
"1393","IL","Cook","DIMENSIONS LIVING PROSPECT HTS",1,1,1,1,1,NA
"1394","IL","Cook","ELEVATE CARE NORTHBROOK",12,14,9,15,11,NA
"1395","IL","Cook","FOSTER HEALTH & REHAB CENTER",1,1,2,1,1,NA
"1396","IL","Cook","GENERATIONS AT APPLEWOOD",14,NA,NA,12,5,NA
"1397","IL","Cook","GENERATIONS AT REGENCY",2,17,23,21,15,1
"1398","IL","Cook","GENERATIONS OAKTON PAVILLION",1,1,1,1,1,NA
"1399","IL","Cook","GROVE OF NORTHBROOK,THE",1,1,1,1,1,NA
"1400","IL","Cook","KENSINGTON PLACE NRSG & REHAB",1,2,1,1,3,NA
"1401","IL","Cook","LEXINGTON OF CHICAGO RIDGE",1,1,1,1,1,NA
"1402","IL","Cook","LUTHERAN HOME FOR THE AGED",1,1,1,1,1,NA
"1403","IL","Cook","MACNEAL HOSPITAL SNF",1,1,1,1,1,NA
"1404","IL","Cook","MANORCARE OF ELK GROVE VILLAGE",2,2,2,2,2,NA
"1405","IL","Cook","MANORCARE OF PALOS HEIGHTS WEST",6,NA,NA,6,6,NA
"1406","IL","Cook","MIDWAY NEUROLOGICAL / REHAB CENTER",3,3,3,3,3,NA
"1407","IL","Cook","PEARL OF ROLLING MEADOWS,THE",1,18,NA,8,3,NA
"1408","IL","Cook","PRINCETON REHAB & HCC",2,NA,NA,7,NA,NA
"1409","IL","Cook","SELFHELP HOME OF CHICAGO",1,NA,4,NA,1,NA
"1410","IL","Cook","SHERIDAN VILLAGE NRSG & RHB",13,22,26,14,20,NA
"1411","IL","Cook","SOUTH HOLLAND MANOR HTH & RHB",13,13,12,13,13,NA
"1412","IL","Cook","SOUTH SUBURBAN REHAB CENTER",1,8,NA,3,NA,NA
"1413","IL","Cook","SYMPHONY AT 87TH STREET",1,37,10,4,24,NA
"1414","IL","Cook","SYMPHONY AT ARIA",3,NA,NA,12,1,NA
"1415","IL","Cook","SYMPHONY ENCORE",2,1,1,5,1,NA
"1416","IL","Cook","UPTOWN HEALTH CENTER",1,1,2,1,1,NA
"1417","IL","Cook","WARREN BARR LINCOLN PARK",7,8,4,8,8,NA
"1418","IL","Cook","WATERFRONT TERRACE",1,1,1,11,1,NA
"1419","IL","Cook","WESLEY PLACE",2,4,NA,18,6,NA
"1420","IL","Cook","WESTCHESTER HEALTH & REHABILITATION",3,3,3,3,3,NA
"1421","IL","Cook","WESTWOOD MANOR, THE",2,NA,NA,1,NA,NA
"1422","IL","Cook","WOODBRIDGE NURSING PAVILION",1,NA,NA,NA,NA,NA
"1423","IL","Crawford","HERITAGE HEALTH-ROBINSON",18,23,NA,27,3,NA
"1424","IL","Crawford","RIDGEVIEW CARE CENTER",2,2,2,2,2,NA
"1425","IL","DeKalb","BETHANY REHAB & HCC",11,1,NA,32,32,NA
"1426","IL","DeKalb","OAK CREST",1,1,1,12,1,NA
"1427","IL","Douglas","ARTHUR HOME, THE",18,24,22,17,21,NA
"1428","IL","Douglas","TUSCOLA HEALTH CARE CENTER",2,4,2,2,3,NA
"1429","IL","DuPage","ALDEN VALLEY RIDGE REHAB & HCC",1,NA,NA,1,5,NA
"1430","IL","DuPage","APERION CARE WEST CHICAGO",19,18,18,19,18,NA
"1431","IL","DuPage","ARISTA HEALTHCARE",1,1,1,1,1,NA
"1432","IL","DuPage","BROOKDALE PLAZA LISLE SNF",1,1,1,1,1,NA
"1433","IL","DuPage","MARIANJOY REHABILITATION HOSPITAL-SNF",1,1,1,1,1,NA
"1434","IL","DuPage","PEARL OF NAPERVILLE, THE",1,1,1,1,2,NA
"1435","IL","DuPage","SPRINGS AT MONARCH LANDING, THE",1,1,1,1,1,NA
"1436","IL","DuPage","WEST CHICAGO TERRACE",1,1,NA,NA,1,NA
"1437","IL","DuPage","WEST SUBURBAN NURSING & REHAB CENTER",1,1,1,1,1,NA
"1438","IL","DuPage","WESTMONT MANOR HLTH & RHB",1,1,2,1,1,NA
"1439","IL","DuPage","WHEATON VILLAGE NRSG & RHB CTR",7,14,7,7,7,NA
"1440","IL","Effingham","EFFINGHAM REHAB & HEALTH C CTR",11,NA,NA,10,9,NA
"1441","IL","Effingham","LAKELAND REHAB & HEALTHCARE CENTER",1,1,2,1,1,NA
"1442","IL","Fayette","FAYETTE COUNTY HOSPITAL",1,2,NA,6,NA,NA
"1443","IL","Fayette","VANDALIA REHAB & HEALTH CARE C",2,3,NA,1,1,NA
"1444","IL","Franklin","HELIA HEALTHCARE OF BENTON",6,10,2,12,4,NA
"1445","IL","Fulton","CLAYBERG, THE",1,1,1,1,1,NA
"1446","IL","Fulton","FARMINGTON COUNTRY MANOR",2,26,4,30,3,NA
"1447","IL","Fulton","SUNSET REHABILITATION & HLTH C",7,9,7,27,17,NA
"1448","IL","Greene","WHITE HALL NURSING & REHAB CENTER",13,13,13,13,13,NA
"1449","IL","Grundy","PARK POINTE HEALTHCARE & REHAB",42,NA,2,41,NA,NA
"1450","IL","Grundy","REGENCY CARE OF MORRIS",1,1,1,1,1,NA
"1451","IL","Hancock","LAHARPE DAVIER HEALTH CARE CTR",2,NA,NA,6,1,NA
"1452","IL","Hancock","MONTEBELLO HEALTHCARE CENTER",3,3,3,3,3,NA
"1453","IL","Henry","KEWANEE CARE HOME",3,2,NA,3,3,NA
"1454","IL","Iroquois","WATSEKA REHAB & HLTH CARE CTR",5,6,1,2,2,NA
"1455","IL","Jackson","INTEGRITY HC OF CARBONDALE",1,1,1,1,1,NA
"1456","IL","Jefferson","NATURE TRAIL HEALTH CARE CENTER",3,3,3,3,3,NA
"1457","IL","Jersey","ROBINGS MANOR RHC",3,1,1,6,1,NA
"1458","IL","Kane","ALDEN COURTS OF WATERFORD",1,NA,NA,NA,5,NA
"1459","IL","Kane","ALDEN OF WATERFORD",2,NA,NA,19,10,NA
"1460","IL","Kane","AVANTARA AURORA",1,1,NA,1,NA,NA
"1461","IL","Kane","BRIA OF GENEVA",2,2,2,2,2,NA
"1462","IL","Kane","MICHAELSEN HEALTH CENTER",2,1,1,15,2,NA
"1463","IL","Kane","NORTH AURORA CARE CENTER",1,NA,NA,NA,NA,1
"1464","IL","Kane","TOWER HILL HEALTHCARE CENTER",35,NA,NA,37,NA,NA
"1465","IL","Kankakee","APERION CARE BRADLEY",22,23,15,22,21,NA
"1466","IL","Kankakee","MILLER HEALTH CARE CENTER",1,NA,NA,NA,NA,NA
"1467","IL","Lake","MANORCARE OF LIBERTYVILLE",2,2,2,2,2,NA
"1468","IL","Lake","PRAIRIEVIEW AT THE GARLANDS",4,NA,1,25,10,NA
"1469","IL","Lake","WARREN BARR LINCOLNSHIRE",35,36,35,36,36,NA
"1470","IL","Lake","WARREN BARR NORTH SHORE",2,2,3,16,12,NA
"1471","IL","Lake","WHITEHALL NORTH, THE",3,2,1,26,1,NA
"1472","IL","LaSalle","HERITAGE HEALTH-MENDOTA",4,4,4,4,4,NA
"1473","IL","LaSalle","HERITAGE HEALTH-STREATOR",1,NA,NA,NA,NA,NA
"1474","IL","Lawrence","APERION CARE BRIDGEPORT",15,34,16,29,32,NA
"1475","IL","Livingston","EVENGLOW LODGE",1,7,NA,16,NA,NA
"1476","IL","Livingston","FAIRVIEW HAVEN",1,1,1,1,1,NA
"1477","IL","Livingston","GOOD SAMARITAN - PONTIAC",1,1,1,1,1,NA
"1478","IL","Logan","CHRISTIAN NURSING HOME",14,8,8,14,14,NA
"1479","IL","Logan","H & J VONDERLIETH LVG CTR, THE",1,15,2,1,2,NA
"1480","IL","Macon","HICKORY POINT CHRISTIAN VILLAGE",19,3,NA,26,19,NA
"1481","IL","Macoupin","HERITAGE HEALTH-CARLINVILLE",9,8,NA,14,8,NA
"1482","IL","Macoupin","SUNRISE SKILLED NUR & REHAB",1,1,1,1,1,NA
"1483","IL","Madison","ALTON MEMORIAL REHAB & THERAPY",1,1,1,15,15,NA
"1484","IL","Madison","CARE CENTER AT CENTER GROVE",1,1,1,1,1,NA
"1485","IL","Madison","GRANITE NURSING & REHABILITATION",1,1,1,10,1,NA
"1486","IL","Madison","INTEGRITY HC OF GODFREY",1,1,NA,NA,NA,NA
"1487","IL","Madison","INTEGRITY HC OF WOOD RIVER",1,4,1,1,1,NA
"1488","IL","Madison","MERIDIAN VILLAGE CARE CENTER",1,NA,NA,1,1,NA
"1489","IL","Madison","RIVERSIDE REHAB & HEALTHCARE",5,NA,NA,9,9,NA
"1490","IL","Madison","STEARNS NURSING & REHAB CENTER",12,12,12,12,12,NA
"1491","IL","Madison","UNIVERSITY NSG & REHAB CENTER",1,1,1,2,1,NA
"1492","IL","Marion","FIRESIDE HOUSE OF CENTRALIA",3,NA,NA,2,NA,NA
"1493","IL","Marion","ODIN HEALTH CARE CENTER",3,3,3,3,3,NA
"1494","IL","Marshall","HEARTLAND OF HENRY",1,NA,NA,2,NA,NA
"1495","IL","McDonough","HEARTLAND OF MACOMB",21,NA,NA,21,20,NA
"1496","IL","McDonough","PRAIRIE CITY REHAB & H C",9,9,9,9,9,NA
"1497","IL","McHenry","CROSSROADS CARE CTR WOODSTOCK",1,1,1,1,1,NA
"1498","IL","McHenry","IGNITE MEDICAL MCHENRY",1,1,1,1,1,NA
"1499","IL","McLean","BLOOMINGTON REHABILITATION & HCC",3,NA,NA,2,NA,NA
"1500","IL","McLean","HERITAGE HEALTH-BLOOMINGTON",1,NA,NA,4,NA,NA
"1501","IL","McLean","HERITAGE HEALTH-NORMAL",1,5,7,1,3,NA
"1502","IL","McLean","MCLEAN COUNTY NURSING HOME",23,NA,1,22,18,NA
"1503","IL","McLean","WESTMINSTER VILLAGE",5,5,1,17,3,NA
"1504","IL","Menard","SUNNY ACRES NURSING HOME",3,7,NA,1,7,NA
"1505","IL","Mercer","ALEDO REHAB & HEALTH CARE CENTER",15,17,17,18,14,NA
"1506","IL","Monroe","INTEGRITY HC OF COLUMBIA",9,7,4,9,9,NA
"1507","IL","Montgomery","APERION CARE LITCHFIELD",11,11,11,11,11,NA
"1508","IL","Montgomery","HERITAGE HEALTH-LITCHFIELD",13,1,1,13,13,NA
"1509","IL","Morgan","HERITAGE HEALTH-JACKSONVILLE",21,20,21,22,22,NA
"1510","IL","Morgan","JACKSONVILLE SKLD NUR & REHAB",2,1,1,3,2,NA
"1511","IL","Moultrie","EASTVIEW TERRACE",1,3,1,15,16,NA
"1512","IL","Moultrie","SULLIVAN REHAB & HLTH CARE CTR",2,2,2,17,8,NA
"1513","IL","Ogle","GENERATIONS AT NEIGHBORS",1,1,1,1,1,NA
"1514","IL","Ogle","PINECREST MANOR",3,4,2,8,8,NA
"1515","IL","Peoria","APERION CARE PEORIA HEIGHTS",7,7,7,7,7,NA
"1516","IL","Peoria","HERITAGE HEALTH-CHILLICOTHE",1,2,1,1,1,NA
"1517","IL","Peoria","LUTHERAN HOME, THE",1,NA,NA,1,1,NA
"1518","IL","Peoria","UNIVERSITY REHAB AT NORTHMOOR",1,1,NA,1,1,NA
"1519","IL","Pike","BARRY COMMUNITY CARE CENTER",2,NA,NA,1,1,NA
"1520","IL","Randolph","COULTERVILLE REHAB & HCC",12,NA,1,15,12,NA
"1521","IL","Richland","HELIA HEALTHCARE OF OLNEY",1,NA,NA,2,1,NA
"1522","IL","Rock Island","CENTENNIAL REHAB & HEALTHCARE",1,1,1,1,1,NA
"1523","IL","Rock Island","HEARTLAND OF MOLINE",16,1,2,32,12,NA
"1524","IL","Saline","SHAWNEE ROSE CARE CENTER",1,1,1,2,2,NA
"1525","IL","Sangamon","AUBURN REHAB & HCC",2,2,3,2,2,NA
"1526","IL","Sangamon","CONCORDIA VILLAGE CARE CENTER",1,NA,NA,1,1,NA
"1527","IL","Sangamon","LEWIS MEMORIAL CHRISTIAN VLG",27,NA,NA,23,27,NA
"1528","IL","Shelby","MOWEAQUA REHAB & HCC",2,3,NA,4,NA,NA
"1529","IL","Shelby","SHELBYVILLE MANOR",27,5,1,29,2,NA
"1530","IL","Shelby","SHELBYVILLE REHAB & HLTH C CTR",1,2,1,7,2,NA
"1531","IL","St. Clair","APERION CARE MASCOUTAH",7,3,1,6,6,NA
"1532","IL","St. Clair","AUTUMN MEADOWS OF CAHOKIA",1,NA,NA,41,1,NA
"1533","IL","St. Clair","HELIA HEALTHCARE OF BELLEVILLE",8,7,4,12,7,1
"1534","IL","St. Clair","HELIA SOUTHBELT HEALTHCARE",1,1,1,1,1,NA
"1535","IL","St. Clair","INTEGRITY HC OF BELLEVILLE",1,1,1,1,1,NA
"1536","IL","St. Clair","MERCY REHAB AND CARE CENTER",2,2,2,4,2,NA
"1537","IL","St. Clair","SWANSEA REHAB HEALTH CARE",3,1,1,16,1,NA
"1538","IL","Stephenson","MANOR COURT OF FREEPORT",1,NA,NA,NA,NA,NA
"1539","IL","Tazewell","APERION CARE MORTON VILLA",1,NA,NA,1,NA,NA
"1540","IL","Tazewell","FONDULAC REHABILITATION & HCC",4,5,4,10,2,NA
"1541","IL","Tazewell","HALLMARK HEALTHCARE OF PEKIN",1,1,1,1,1,NA
"1542","IL","Tazewell","LAKESIDE REHAB & HEALTHCARE",1,1,1,1,1,NA
"1543","IL","Tazewell","TIMBERCREEK REHAB & HEALTHCARE CENTER",3,1,1,13,1,NA
"1544","IL","Union","INTEGRITY HC OF ANNA",2,3,3,3,3,NA
"1545","IL","Union","JONESBORO REHAB & HCC",1,1,1,3,2,NA
"1546","IL","Vermilion","ACCOLADE HEALTHCARE DANVILLE",1,NA,NA,28,NA,NA
