"","Provider.State","County","Provider.Name","WeeksofShortage_of_AD_by_Provider","WeeksofShortage_of_CS_by_Provider","WeeksofShortage_of_NS_by_Provider","WeeksofShortage_of_OS_by_Provider"
"705","CO","Denver","HEALTH CENTER AT FRANKLIN PARK",40,NA,38,30
"706","CO","Denver","JEWELL CARE CENTER OF DENVER",2,NA,1,NA
"707","CO","Denver","LITTLE SISTERS OF THE POOR - MULLEN HOME",10,NA,10,NA
"708","CO","Denver","MONACO PARKWAY HEALTH AND REHABILITATION CENTER",17,NA,NA,NA
"709","CO","Denver","NORTH STAR REHABILITATION AND CARE COMMUNITY",4,1,3,16
"710","CO","Denver","ST PAUL HEALTH CENTER",3,3,2,3
"711","CO","Denver","SUITES AT CLERMONT PARK CARE CENTER",3,2,3,2
"712","CO","Denver","UPTOWN HEALTH CARE CENTER",6,2,4,4
"713","CO","Douglas","BROOKSIDE INN",5,2,6,3
"714","CO","Douglas","CASTLE ROCK CARE CENTER",2,2,2,2
"715","CO","Douglas","CONTINUING CARE AT WIND CREST",9,9,10,9
"716","CO","Douglas","LIFE CARE CENTER OF STONEGATE",9,NA,10,NA
"717","CO","Douglas","SUITES PARKER, THE",3,1,1,3
"718","CO","Douglas","VI AT HIGHLANDS RANCH SKILLED NURSING",5,NA,5,NA
"719","CO","El Paso","ADVANCED HEALTH CARE OF COLORADO SPRINGS",15,1,10,1
"720","CO","El Paso","ASPEN LIVING CENTER",7,NA,NA,NA
"721","CO","El Paso","BEAR CREEK SENIOR LIVING",5,4,5,5
"722","CO","El Paso","BROOKDALE SKYLINE",8,1,7,7
"723","CO","El Paso","CEDARWOOD HEALTH CARE CENTER",23,NA,NA,NA
"724","CO","El Paso","CENTER AT CENTENNIAL, THE",30,2,19,15
"725","CO","El Paso","CENTER AT CORDERA, LLC, THE",4,4,5,4
"726","CO","El Paso","HEALTHCARE RESORT OF COLORADO SPRINGS, THE",1,1,1,1
"727","CO","El Paso","LIFE CARE CENTER OF COLORADO SPRINGS",1,NA,NA,NA
"728","CO","El Paso","MOUNT ST FRANCIS NURSING CENTER",4,NA,19,3
"729","CO","El Paso","NAMASTE ALZHEIMER CENTER",2,NA,12,11
"730","CO","El Paso","SUNDANCE SKILLED NURSING AND REHABILITATION",1,1,4,1
"731","CO","El Paso","TERRACE GARDENS HEALTHCARE CENTER",22,NA,NA,NA
"732","CO","Fremont","BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME",1,1,1,1
"733","CO","Fremont","CANON LODGE CARE CENTER",4,2,4,2
"734","CO","Fremont","CENTURA HEALTH PROGRESSIVE CARE CENTER",37,NA,37,8
"735","CO","Fremont","HILDEBRAND CARE CENTER",32,NA,4,37
"736","CO","Fremont","SKYLINE RIDGE NURSING AND REHABILITATION CENTER",34,NA,24,NA
"737","CO","Fremont","VALLEY VIEW HEALTH CARE CENTER, INC",33,7,31,31
"738","CO","Garfield","COLORADO STATE VETERANS NURSING HOME - RIFLE",12,1,6,5
"739","CO","Garfield","E DENE MOORE CARE CENTER",21,2,20,5
"740","CO","Garfield","GLENWOOD SPRINGS HEALTHCARE",1,1,1,1
"741","CO","Garfield","HERITAGE PARK CARE CENTER",11,1,2,25
"742","CO","Gunnison","GUNNISON VALLEY HEALTH SENIOR CARE CENTER",28,NA,41,2
"743","CO","Jefferson","ACCEL AT GOLDEN RIDGE",1,4,1,1
"744","CO","Jefferson","ARBOR VIEW",1,NA,NA,NA
"745","CO","Jefferson","BETHANY NURSING & REHAB CENTER",8,2,9,2
"746","CO","Jefferson","CAMBRIDGE CARE CENTER",3,3,3,3
"747","CO","Jefferson","CEDARS HEALTHCARE CENTER",3,NA,3,2
"748","CO","Jefferson","CHRISTOPHER HOUSE REHABILITATION AND CARE COMMUNIT",2,2,2,2
"749","CO","Jefferson","GARDENS ON QUAIL",1,NA,NA,NA
"750","CO","Jefferson","HARMONY POINTE NURSING CENTER",35,5,35,36
"751","CO","Jefferson","LAKEWOOD VILLA",22,3,16,2
"752","CO","Jefferson","LIFE CARE CENTER OF EVERGREEN",3,NA,3,2
"753","CO","Jefferson","MAPLETON CARE CENTER",2,2,2,2
"754","CO","Jefferson","MOUNTAIN VISTA HEALTH CENTER",40,NA,37,31
"755","CO","Jefferson","REHABILITATION CENTER AT SANDALWOOD,THE",2,1,1,2
"756","CO","Jefferson","SIERRA REHABILITATION AND CARE COMMUNITY",6,2,2,2
"757","CO","Jefferson","VILLA MANOR CARE CENTER",3,2,3,3
"758","CO","Jefferson","VILLAGE CARE AND REHABILITATION CENTER, THE",29,3,31,31
"759","CO","Jefferson","WESTERN HILLS HEALTH CARE CENTER",4,1,4,5
"760","CO","Jefferson","WHEATRIDGE MANOR CARE CENTER",4,3,4,3
"761","CO","Kit Carson","GRACE MANOR CARE CENTER",1,2,1,1
"762","CO","La Plata","FOUR CORNERS HEALTH CARE CENTER",8,NA,NA,NA
"763","CO","Larimer","CENTER AT ROCK CREEK, THE",7,3,7,5
"764","CO","Larimer","CENTRE AVE HEALTH & REHAB",3,NA,NA,NA
"765","CO","Larimer","COLUMBINE WEST HEALTH AND REHAB FACILITY",7,NA,15,NA
"766","CO","Larimer","GOOD SAMARITAN SOCIETY -- LOVELAND VILLAGE",5,2,7,2
"767","CO","Larimer","GREEN HOUSE HOMES AT MIRASOL, THE",1,1,1,1
"768","CO","Larimer","LEMAY AVENUE HEALTH AND REHABILITATION FACILITY",2,3,3,2
"769","CO","Larimer","NORTH SHORE HEALTH & REHAB FACILITY",3,1,2,2
"770","CO","Larimer","SIERRA VISTA HEALTHCARE CENTER",11,NA,NA,NA
"771","CO","Lincoln","LINCOLN COMMUNITY HOSPITAL NURSING HOME",10,NA,23,1
"772","CO","Logan","DEVONSHIRE ACRES",10,1,12,2
"773","CO","Logan","STERLING LIVING CENTER",9,NA,32,NA
"774","CO","Mesa","CENTER AT FORESIGHT LLC, THE",19,1,14,1
"775","CO","Mesa","EAGLE RIDGE AT GRAND VALLEY",2,2,2,2
"776","CO","Mesa","LA VILLA GRANDE CARE CENTER",2,1,2,1
"777","CO","Mesa","LARCHWOOD INNS",6,1,1,3
"778","CO","Mesa","MANTEY HEIGHTS REHABILITATION & CARE CENTER",23,2,16,12
"779","CO","Mesa","PALISADES LIVING CENTER",2,NA,NA,NA
"780","CO","Moffat","SANDROCK RIDGE CARE AND REHAB",4,NA,4,NA
"781","CO","Montrose","COLOROW HEALTH CARE LLC",1,1,1,1
"782","CO","Montrose","SAN JUAN LIVING CENTER",15,NA,8,NA
"783","CO","Montrose","VALLEY MANOR CARE CENTER, INC",5,3,6,4
"784","CO","Morgan","EBEN EZER LUTHERAN CARE CENTER",26,3,32,22
"785","CO","Morgan","SUNSET MANOR",8,NA,24,NA
"786","CO","Otero","FOWLER HEALTH CARE",3,NA,1,NA
"787","CO","Otero","PIONEER HEALTH CARE CENTER",9,NA,9,NA
"788","CO","Phillips","REGENT PARK NURSING AND REHABILITATION",19,1,3,2
"789","CO","Prowers","HOLLY NURSING CARE CENTER",13,2,11,17
"790","CO","Pueblo","BELMONT LODGE HEALTH CARE CENTER",15,NA,12,NA
"791","CO","Pueblo","CENTER AT PARK WEST LLC, THE",43,NA,43,NA
"792","CO","Pueblo","LIFE CARE CENTER OF PUEBLO",1,NA,NA,1
"793","CO","Pueblo","MINNEQUA MEDICENTER",11,NA,NA,NA
"794","CO","Pueblo","PAVILION AT VILLA PUEBLO, THE",34,3,16,7
"795","CO","Pueblo","SHARMAR VILLAGE CARE CENTER, INC",1,2,3,2
"796","CO","Pueblo","UNIVERSITY PARK CARE CENTER",29,NA,29,1
"797","CO","Rio Blanco","WALBRIDGE MEMORIAL CONVALESCENT WING",19,NA,10,4
"798","CO","Rio Grande","COLORADO VETERANS COMMUNITY LIVING CTR AT HOMELAKE",1,1,1,1
"799","CO","Rio Grande","MONTE VISTA ESTATES, LLC",23,2,13,8
"800","CO","Routt","CASEY'S POND SENIOR LIVING LTC",29,NA,22,21
"801","CO","Sedgwick","SEDGWICK COUNTY MEMORIAL NURSING HOME",20,21,21,22
"802","CO","Teller","FOREST RIDGE",22,1,14,1
"803","CO","Washington","WASHINGTON COUNTY NURSING HOME",11,3,20,3
"804","CO","Weld","FAIRACRES MANOR, INC.",2,2,2,2
"805","CO","Weld","GOOD SAMARITAN SOCIETY - BONELL COMMUNITY",18,3,18,10
"806","CO","Weld","GRACE POINTE CONT CARE SR CAMPUS, SKILLED NURSING",14,4,6,5
"807","CO","Weld","KENTON MANOR",16,NA,32,NA
"808","CO","Yuma","HILLCREST CARE CENTER",6,NA,5,NA
"809","CT","Fairfield","APPLE REHAB SHELTON LAKES",2,1,2,2
"810","CT","Fairfield","BETHEL HEALTH CARE CENTER",1,1,1,NA
"811","CT","Fairfield","CAROLTON CHRONIC & CONV HOSP,",1,2,1,1
"812","CT","Fairfield","CASSENA CARE AT NORWALK",1,NA,NA,NA
"813","CT","Fairfield","CASSENA CARE AT STAMFORD",2,2,2,2
"814","CT","Fairfield","GREENWICH WOODS REHABILITATION",7,7,7,7
"815","CT","Fairfield","HANCOCK HALL",1,1,NA,NA
"816","CT","Fairfield","HEWITT HEALTH & REHABILITATION CENTER, INC",3,3,3,3
"817","CT","Fairfield","LAUREL RIDGE HEALTH CARE CENTE",2,1,1,2
"818","CT","Fairfield","LORD CHAMBERLAIN MANOR",8,6,9,8
"819","CT","Fairfield","LORD CHAMBERLAIN NURSING & REHABILITATION CENTER",9,7,9,9
"820","CT","Fairfield","LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC",5,5,5,5
"821","CT","Fairfield","NEWTOWN REHABILITATION & HEALTH CARE CENTER",5,2,3,3
"822","CT","Fairfield","NOTRE DAME CONVALESCENT HOME I",3,NA,3,4
"823","CT","Fairfield","REGALCARE AT SOUTHPORT",1,1,1,1
"824","CT","Fairfield","VILLA AT STAMFORD, THE",2,1,1,1
"825","CT","Fairfield","WAVENY CARE CENTER",1,1,1,1
"826","CT","Fairfield","WESTERN REHABILITATION CARE CENTER",2,1,1,1
"827","CT","Fairfield","WILTON MEADOWS HEALTH CARE CEN",1,1,1,1
"828","CT","Hartford","60 WEST",2,NA,3,NA
"829","CT","Hartford","AMBERWOODS OF FARMINGTON",3,2,2,2
"830","CT","Hartford","APPLE REHAB FARMINGTON VALLEY",2,2,2,2
"831","CT","Hartford","AUTUMN LAKE HEALTHCARE AT NEW BRITAIN",1,1,1,1
"832","CT","Hartford","AVERY NURSING HOME",1,1,1,1
"833","CT","Hartford","AVON HEALTH CENTER",7,2,4,3
"834","CT","Hartford","BEL AIR MANOR",1,1,1,1
"835","CT","Hartford","BICKFORD HEALTH CARE CENTER",2,1,3,NA
"836","CT","Hartford","BLOOMFIELD HEALTH CARE CENTER",1,1,1,1
"837","CT","Hartford","CHELSEA PLACE CARE CENTER",5,NA,5,NA
"838","CT","Hartford","FRESH RIVER HEALTHCARE",5,1,7,2
"839","CT","Hartford","GRANDVIEW REHABILITATION AND HEALTHCARE CENTER",1,1,1,1
"840","CT","Hartford","HEBREW CENTER FOR HEALTH AND REHABILITATION",1,1,1,1
"841","CT","Hartford","LEDGECREST HEALTH CARE",3,3,3,3
"842","CT","Hartford","MANCHESTER MANOR",5,3,3,2
"843","CT","Hartford","MARLBOROUGH HEALTH & REHABILITATION CENTER",1,NA,NA,NA
"844","CT","Hartford","MONSIGNOR BOJNOWSKI MANOR",4,4,4,4
"845","CT","Hartford","NEWINGTON RAPID RECOVERY REHAB CENTER",2,2,2,2
"846","CT","Hartford","PARKVILLE CARE CENTER",6,1,6,1
"847","CT","Hartford","PARKWAY PAVILION HEALTH AND REHABILITATION CENTER",1,1,1,1
"848","CT","Hartford","SHERIDEN WOODS",4,NA,4,NA
"849","CT","Hartford","SOUTHINGTON CARE CENTER",15,15,15,15
"850","CT","Hartford","ST JOSEPH'S RESIDENCE",6,6,6,6
"851","CT","Hartford","SUFFIELD HOUSE, THE",8,8,8,8
"852","CT","Hartford","SUMMIT AT PLANTSVILLE, THE",1,1,1,1
"853","CT","Hartford","TOUCHPOINTS AT BLOOMFIELD",6,1,6,1
"854","CT","Hartford","TOUCHPOINTS AT CHESTNUT",3,1,3,1
"855","CT","Hartford","TOUCHPOINTS AT FARMINGTON",6,1,6,1
"856","CT","Hartford","TOUCHPOINTS AT MANCHESTER",6,1,6,2
"857","CT","Hartford","TRINITY HILL CARE CENTER",6,1,6,2
"858","CT","Hartford","WESTSIDE CARE CENTER",6,1,6,1
"859","CT","Hartford","WINDSOR HEALTH AND REHABILITATION CENTER, LLC",20,3,21,13
"860","CT","Litchfield","CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER",1,1,1,1
"861","CT","Litchfield","COOK WILLOW CONVALESCENT HOSPI",1,NA,17,NA
"862","CT","Litchfield","REGALCARE AT TORRINGTON",1,1,1,1
"863","CT","Litchfield","SHARON HEALTH CARE CENTER",1,1,1,1
"864","CT","Litchfield","WATERTOWN CONVALARIUM, INC",2,1,6,2
"865","CT","Middlesex","AARON MANOR NURSING & REHABILITATION",1,1,1,1
"866","CT","Middlesex","APPLE REHAB CROMWELL",2,2,2,2
"867","CT","Middlesex","APPLE REHAB MIDDLETOWN",1,1,1,1
"868","CT","Middlesex","APPLE REHAB SAYBROOK",2,2,2,2
"869","CT","Middlesex","COBALT LODGE HEALTH CARE & REH",6,4,10,5
"870","CT","Middlesex","GLADEVIEW HEALTH CARE CENTER",2,NA,2,NA
"871","CT","Middlesex","TWIN MAPLES HEALTHCARE, INC",24,2,2,2
"872","CT","Middlesex","WATER'S EDGE CENTER FOR HEALTH & REHAB",4,1,3,1
"873","CT","New Haven","APPLE REHAB COCCOMO",2,NA,1,1
"874","CT","New Haven","APPLE REHAB GUILFORD",1,1,1,1
"875","CT","New Haven","APPLE REHAB LAUREL WOODS",1,1,1,1
"876","CT","New Haven","APPLE REHAB WEST HAVEN",1,1,1,1
"877","CT","New Haven","BEACON BROOK HEALTH CENTER",3,3,3,3
"878","CT","New Haven","BRADLEY HOME & PAVILLION, THE",16,NA,13,3
"879","CT","New Haven","CHESHIRE HOUSE HEALTH CARE FAC",4,4,4,4
"880","CT","New Haven","CONNECTICUT BAPTIST HOMES, INC",1,1,1,1
"881","CT","New Haven","CURTIS HOME ST ELIZABETH CENTER",1,1,1,1
"882","CT","New Haven","EVERGREEN WOODS",4,NA,4,NA
"883","CT","New Haven","GRIMES YNHCC",5,5,5,5
"884","CT","New Haven","GROVE MANOR NURSING HOME, INC",13,4,11,5
"885","CT","New Haven","GUILFORD HOUSE, THE",1,NA,NA,NA
"886","CT","New Haven","HAMDEN REHABILITATION & HEALTH CARE CENTER",1,1,1,1
"887","CT","New Haven","MASONICARE HEALTH CENTER",4,1,4,2
"888","CT","New Haven","MATTATUCK HEALTH CARE FAC",1,1,1,1
"889","CT","New Haven","MERIDIAN MANOR",3,NA,NA,NA
"890","CT","New Haven","MIDDLEBURY CONVALESCENT HOME",2,1,2,2
"891","CT","New Haven","MILLER MEMORIAL COMMUNITY",1,1,1,2
"892","CT","New Haven","REGENCY HOUSE NURSING AND REHABILITATION CENTER",2,2,2,2
"893","CT","New Haven","SILVER SPRINGS CARE CENTER",5,NA,5,NA
"894","CT","New Haven","SKYVIEW REHAB AND NURSING",2,1,1,1
"895","CT","New Haven","WATERBURY GARDENS NURSING AND REHAB",1,1,1,1
"896","CT","New Haven","WATROUS NURSING CENTER",8,NA,9,3
"897","CT","New Haven","WHISPERING PINES REHABILITATION AND NURSING CENTER",2,1,2,1
"898","CT","New Haven","WHITNEY REHABILITATION CARE CENTER",1,1,1,1
"899","CT","New Haven","WOLCOTT VIEW MANOR",5,4,4,4
"900","CT","New London","APPLE REHAB MYSTIC",8,NA,NA,NA
"901","CT","New London","AVALON HEALTH CARE CENTER AT STONERIDGE",3,2,6,2
"902","CT","New London","BAYVIEW HEALTH CARE",2,2,2,2
"903","CT","New London","BRIDE BROOK HEALTH & REHABILITATION CENTER",18,NA,NA,NA
"904","CT","New London","FAIRVIEW",23,1,17,1
"905","CT","New London","GREENTREE MANOR NURSING & REHA",2,2,2,2
"906","CT","New London","MYSTIC HEALTHCARE & REHABILITATION CENTER, LLC",42,3,42,31
"907","CT","New London","ORCHARD GROVE SPECIALTY CARE CENTER, LLC",24,NA,22,NA
"908","CT","New London","PENDLETON HEALTH & REHABILITATION CENTER",9,NA,NA,NA
"909","CT","New London","THREE RIVERS",1,NA,3,1
"910","CT","Tolland","EVERGREEN HEALTH CARE CENTER",1,1,1,1
"911","CT","Tolland","MANSFIELD CENTER FOR NURSING AND REHABILITATION",7,NA,1,NA
"912","CT","Tolland","VERNON MANOR HEALTH CARE CENTER",32,19,31,29
"913","CT","Tolland","WOODLAKE AT TOLLAND REHABILITATION & NURSING CENTE",23,1,23,1
"914","CT","Windham","COLONIAL HEALTH & REHAB CENTER OF PLAINFIELD LLC",2,2,2,2
"915","CT","Windham","MATULAITIS NURSING HOME",1,1,NA,NA
"916","CT","Windham","PIERCE MEM BAPTIST HOME",1,1,1,1
"917","CT","Windham","ST JOSEPHS LIVING CENTER",3,1,1,NA
"918","CT","Windham","VANDERMAN PLACE",8,1,9,1
"919","CT","Windham","VILLA MARIA NURSING & REHAB COMMUNITY, INC",1,NA,1,1
"920","CT","Windham","WESTVIEW NURSING CARE & REHAB",3,2,NA,NA
"921","DC","District Of Columbia","CAPITOL CITY REHAB AND HEALTHCARE CENTER",38,1,10,1
"922","DC","District Of Columbia","CARROLL MANOR NURSING & REHAB",29,1,29,29
"923","DC","District Of Columbia","FOREST HILLS OF DC",3,NA,NA,NA
"924","DC","District Of Columbia","HEALTH & REHABILITATION  CENTER AT THOMAS CIRCLE",1,NA,NA,NA
"925","DC","District Of Columbia","INGLESIDE AT ROCK CREEK",3,NA,3,NA
"926","DC","District Of Columbia","JEANNE JUGAN RESIDENCE",1,1,6,1
"927","DC","District Of Columbia","SERENITY REHABILITATION AND HEALTH CENTER LLC",13,NA,13,13
"928","DC","District Of Columbia","SIBLEY MEM HOSP RENAISSANCE",4,4,4,4
"929","DC","District Of Columbia","STODDARD BAPTIST NURSING HOME",2,1,2,1
"930","DC","District Of Columbia","THE HSC PEDIATRIC SKILLED NURSING FACILITY",2,1,1,1
"931","DC","District Of Columbia","UNIQUE REHABILITATION AND HEALTH CENTER LLC",11,2,11,11
"932","DC","District Of Columbia","WASHINGTON CTR FOR AGING SVCS",18,5,20,7
"933","DE","Kent","CADIA REHABILITATION CAPITOL",2,NA,2,NA
"934","DE","Kent","COURTLAND MANOR",7,NA,7,NA
"935","DE","Kent","PINNACLE REHABILITATION & HEALTH CENTER",2,NA,NA,1
"936","DE","Kent","WESTMINSTER VILLAGE HEALTH",4,2,14,14
"937","DE","New Castle","BRANDYWINE NURSING & REHABILITATION CENTER",38,NA,37,9
"938","DE","New Castle","CADIA REHABILITATION PIKE CREEK",4,5,4,4
"939","DE","New Castle","CADIA REHABILITATION SILVERSIDE",1,NA,2,NA
"940","DE","New Castle","CHURCHMAN VILLAGE",27,NA,10,21
"941","DE","New Castle","FIVE STAR FOULK MANOR NORTH LLC",3,2,2,4
"942","DE","New Castle","FORWOOD MANOR",11,2,5,4
"943","DE","New Castle","GILPIN HALL",1,NA,NA,NA
"944","DE","New Castle","KENTMERE REHABILITATION AND HEALTHCARE CENTER",2,1,2,1
"945","DE","New Castle","KUTZ REHABILITATION AND NURSING",20,1,11,8
"946","DE","New Castle","MILLCROFT",28,NA,4,1
"947","DE","New Castle","NEW CASTLE HEALTH AND REHABILITATION CENTER",12,NA,NA,NA
"948","DE","New Castle","NEWARK MANOR NURSING HOME",2,2,1,1
"949","DE","New Castle","REGAL HEIGHTS HEALTHCARE & REHAB CENTER",1,1,2,1
"950","DE","New Castle","REGENCY HEALTHCARE & REHAB CENTER",2,NA,NA,NA
"951","DE","New Castle","SHIPLEY MANOR",2,1,2,3
"952","DE","Sussex","ATLANTIC SHORES REHABILITATION & HEALTH CENTER",1,1,1,1
"953","DE","Sussex","DELAWARE VETERANS HOME",1,1,1,1
"954","DE","Sussex","DELMAR NURSING & REHABILITATION CENTER",16,NA,16,1
"955","DE","Sussex","HARBOR HEALTHCARE & REHAB CTR",43,NA,43,41
"956","DE","Sussex","HARRISON SENIOR LIVING OF GEORGETOWN, LLC",17,1,22,11
"957","FL","Alachua","AVANTE AT OCALA, INC",18,NA,8,1
"958","FL","Alachua","NORTH FLORIDA REHABILITATION AND SPECIALTY CARE",6,2,6,2
"959","FL","Alachua","PALM GARDEN OF GAINESVILLE",1,1,1,1
"960","FL","Alachua","PARK MEADOWS HEALTH AND REHABILITATION CENTER",2,1,NA,1
"961","FL","Alachua","PARKLANDS CARE CENTER",5,NA,NA,NA
"962","FL","Alachua","PLAZA HEALTH AND REHAB",1,1,1,1
"963","FL","Bay","COMMUNITY HEALTH AND REHABILITATION CENTER",1,1,1,1
"964","FL","Bay","ST ANDREWS BAY SKILLED NURSING AND REHABILITATION",35,1,35,28
"965","FL","Bradford","WINDSOR HEALTH AND REHABILITATION CENTER",9,4,7,4
"966","FL","Brevard","ANCHOR CARE AND REHAB CENTER",7,NA,21,NA
"967","FL","Brevard","AVANTE AT MELBOURNE INC",2,1,1,1
"968","FL","Brevard","CONSULATE HEALTH CARE OF MELBOURNE",10,1,3,1
"969","FL","Brevard","COURTENAY SPRINGS VILLAGE",24,1,1,1
"970","FL","Brevard","HUNTINGTON PLACE",2,2,2,2
"971","FL","Brevard","INDIAN RIVER CENTER",9,8,9,9
"972","FL","Brevard","ISLAND HEALTH AND REHABILITATION CENTER",43,2,43,11
"973","FL","Brevard","PALMS REHABILITATION AND HEALTHCARE CENTER, THE",29,1,29,1
"974","FL","Brevard","ROCKLEDGE HEALTH AND REHABILITATION CENTER",2,NA,NA,NA
"975","FL","Brevard","TITUSVILLE REHABILITATION & NURSING CENTER",3,NA,3,NA
"976","FL","Brevard","VIERA DEL MAR HEALTH AND REHABILITATION CENTER",8,NA,7,NA
"977","FL","Brevard","VISTA MANOR",23,4,23,14
"978","FL","Brevard","WAVE CREST HEALTH AND REHABILITATION CENTER",3,3,3,3
"979","FL","Broward","CHILDRENS COMPREHENSIVE CARE CENTER INC",2,2,2,2
"980","FL","Broward","CROSS POINTE CARE CENTER",1,1,1,1
"981","FL","Broward","FORUM AT DEER CREEK",2,2,2,2
"982","FL","Broward","FT LAUDERDALE HEALTH & REHABILITATION CENTER",5,5,5,5
"983","FL","Broward","GOLFCREST HEALTHCARE CENTER",1,1,1,1
"984","FL","Broward","HILLCREST HEALTH CARE AND REHABILITATION CENTER",11,1,10,1
"985","FL","Broward","JOHN KNOX VILLAGE OF POMPANO BEACH",1,1,1,1
"986","FL","Broward","KINDRED HOSPITAL SOUTH FLORIDA HOLLYWOOD",1,1,1,1
"987","FL","Broward","MANOR OAKS NURSING & REHABILITATION CENTER",8,8,8,9
"988","FL","Broward","MARGATE HEALTH AND REHABILITATION CENTER",1,1,1,1
"989","FL","Broward","NSPIRE HEALTHCARE PLANTATION",1,1,1,1
"990","FL","Broward","PALMS CARE CENTER",2,1,1,1
"991","FL","Broward","PARK SUMMIT AT CORAL SPRINGS",17,2,12,4
"992","FL","Broward","REGENTS PARK OF SUNRISE",2,2,2,2
"993","FL","Broward","SEAVIEW NURSING AND REHABILITATION CENTER",4,4,4,4
"994","FL","Broward","SOLARIS HEALTHCARE COCONUT CREEK",26,NA,5,NA
"995","FL","Broward","SPRINGTREE REHABILITATION & HEALTH CARE CENTER",3,3,3,3
"996","FL","Broward","SUNRISE HEALTH & REHABILITATION CENTER",3,3,3,3
"997","FL","Broward","WEST BROWARD REHABILITATION AND HEALTHCARE",7,NA,8,2
"998","FL","Broward","WILTON MANORS HEALTH & REHABILITATION CENTER",1,1,1,1
"999","FL","Charlotte","CONSULATE HEALTH CARE OF PORT CHARLOTTE",2,1,1,1
"1000","FL","Charlotte","DOUGLAS JACOBSON STATE VETERANS NURSING HOME",1,1,1,1
"1001","FL","Charlotte","SOLARIS HEALTHCARE CHARLOTTE HARBOR",6,NA,NA,NA
"1002","FL","Charlotte","VILLAGE PLACE HEALTH AND REHABILITATION CENTER",2,1,1,2
"1003","FL","Citrus","ARBOR TRAIL REHAB AND SKILLED NURSING CENTER",1,1,1,1
"1004","FL","Citrus","CITRUS HEALTH AND REHABILITATION CENTER",2,NA,2,1
"1005","FL","Citrus","DIAMOND RIDGE HEALTH AND REHABILITATION CENTER",1,1,1,2
"1006","FL","Citrus","GROVE HEALTH & REHABILITATION CENTER, THE",1,3,1,2
"1007","FL","Citrus","HEALTH CENTER AT BRENTWOOD",12,NA,1,NA
"1008","FL","Citrus","LIFE CARE CENTER OF CITRUS COUNTY",29,NA,NA,NA
"1009","FL","Clay","CONSULATE HEALTH CARE OF ORANGE PARK",35,NA,35,10
"1010","FL","Clay","GOVERNORS CREEK HEALTH AND REHABILITATION",17,NA,13,NA
"1011","FL","Clay","LIFE CARE CENTER AT WELLS CROSSING",3,NA,8,NA
"1012","FL","Clay","OAK VIEW REHABILITATION CENTER",10,5,8,5
"1013","FL","Collier","SOLARIS HEALTHCARE IMPERIAL",21,NA,15,NA
"1014","FL","Columbia","AVALON HEALTHCARE CENTER",22,NA,17,8
"1015","FL","Columbia","BAYA POINTE NURSING AND REHABILITATION CENTER",29,NA,23,7
"1016","FL","Columbia","REHABILITATION CENTER OF LAKE CITY, THE",23,3,23,4
"1017","FL","Columbia","SOLARIS HEALTHCARE LAKE CITY",2,1,1,1
"1018","FL","DeSoto","DESOTO HEALTH AND REHAB",32,1,17,1
"1019","FL","Duval","FIRST COAST HEALTH & REHABILITATION CENTER",1,1,1,2
"1020","FL","Duval","FOUNTAINS REHABILITATION AT MILL COVE",3,3,3,3
"1021","FL","Duval","FOURAKER HILLS REHAB AND NURSING CENTER",36,NA,35,16
"1022","FL","Duval","HARTS HARBOR HEALTH CARE CENTER",31,8,30,8
"1023","FL","Duval","HEALTHCARE CENTER OF JACKSONVILLE",1,1,1,1
"1024","FL","Duval","LAKESIDE NURSING AND REHABILITATION CENTER",4,5,4,4
"1025","FL","Duval","LIFE CARE CENTER OF JACKSONVILLE",31,2,30,2
"1026","FL","Duval","PARK RIDGE NURSING CENTER",6,1,9,6
"1027","FL","Duval","REGENTS PARK OF JACKSONVILLE",2,NA,21,5
"1028","FL","Duval","RIVER CITY REHAB CENTER",1,1,1,1
"1029","FL","Duval","RIVERWOOD CENTER",9,1,6,2
"1030","FL","Duval","SAN JOSE HEALTH AND REHABILITATION CENTER",3,3,3,3
"1031","FL","Duval","SIGNATURE HEALTHCARE OF JACKSONVILLE",1,1,1,1
"1032","FL","Duval","ST CATHERINE LABOURE MANOR, INC",1,1,1,1
"1033","FL","Duval","TAYLOR CARE CENTER",1,NA,NA,1
"1034","FL","Duval","TERRACE OF JACKSONVILLE, THE",8,NA,7,NA
"1035","FL","Duval","WOODLAND GROVE HEALTH & REHABILITATION CENTER",8,2,11,2
"1036","FL","Escambia","ARCADIA HEALTH & REHABILITATION CENTER",25,2,25,6
"1037","FL","Escambia","CONSULATE HEALTH CARE OF PENSACOLA",34,2,32,2
"1038","FL","Escambia","OLIVE BRANCH HEALTH AND REHAB CENTER",40,NA,41,16
"1039","FL","Escambia","ROSEWOOD HEALTHCARE AND REHABILITATION CENTER",3,NA,3,NA
"1040","FL","Escambia","SOLARIS HEALTHCARE PENSACOLA",1,1,1,1
"1041","FL","Escambia","SOUTHERN OAKS CARE CENTER",42,1,42,32
"1042","FL","Escambia","SPECIALTY HEALTH AND REHABILITATION CENTER",1,1,1,1
"1043","FL","Escambia","UNIVERSITY HILLS HEALTH AND REHABILITATION",38,5,43,5
"1044","FL","Escambia","WILLOWBROOKE COURT AT AZALEA TRACE",1,1,1,1
