"","Provider.State","County","Provider.Name","Number_of_Available_Beds_by_Provider","Number.of.Ventilators.in.Facility_1","Number.of.Ventilators.in.Use.for.COVID.19_1","Ratio_of_available_vt"
"4541","IL","Tazewell","WASHINGTON SENIOR LIVING",1428,NA,NA,NA
"4542","IL","Union","INTEGRITY HC OF ANNA",990,NA,NA,NA
"4543","IL","Union","INTEGRITY HC OF COBDEN",634,NA,NA,NA
"4544","IL","Union","JONESBORO REHAB & HCC",2282,NA,NA,NA
"4545","IL","Union","UNION COUNTY HOSPITAL L T C",386,NA,NA,NA
"4546","IL","Vermilion","ACCOLADE HEALTHCARE DANVILLE",1024,NA,NA,NA
"4547","IL","Vermilion","ARCADIA CARE DANVILLE",1634,NA,NA,NA
"4548","IL","Vermilion","COLONIAL MANOR",1144,NA,NA,NA
"4549","IL","Vermilion","GARDENVIEW MANOR",6982,NA,NA,NA
"4550","IL","Vermilion","HAWTHORNE INN OF DANVILLE",968,NA,NA,NA
"4551","IL","Vermilion","HERITAGE HEALTH-HOOPESTON",547,NA,NA,NA
"4552","IL","Wabash","OAKVIEW NURSING & REHAB",823,NA,NA,NA
"4553","IL","Warren","MONMOUTH NURSING HOME",942,NA,NA,NA
"4554","IL","Warren","ROSEVILLE REHAB & HEALTH CARE",2086,NA,NA,NA
"4555","IL","Washington","FRIENDSHIP MANOR HEALTH CARE",1657,NA,NA,NA
"4556","IL","Wayne","APERION CARE FAIRFIELD",1156,NA,NA,NA
"4557","IL","Wayne","CISNE REHABILITATION & HEALTH CENTER",356,NA,NA,NA
"4558","IL","Wayne","FAIRFIELD MEMORIAL HOSPITAL",515,NA,NA,NA
"4559","IL","White","CARMI MANOR REHAB & NRSG CTR",957,NA,NA,NA
"4560","IL","White","ENFIELD REHAB & HEALTH CARE CT",1103,NA,NA,NA
"4561","IL","White","MEADOWOOD",1397,NA,NA,NA
"4562","IL","White","WABASH CHRISTIAN RETIREMENT",1166,NA,NA,NA
"4563","IL","Whiteside","ALLURE OF PROPHETSTOWN",1284,NA,NA,NA
"4564","IL","Whiteside","CITADEL OF STERLING,THE",1963,NA,NA,NA
"4565","IL","Whiteside","HARBOR CREST HOME",904,NA,NA,NA
"4566","IL","Whiteside","PLEASANT VIEW REHAB & HCC",1907,NA,NA,NA
"4567","IL","Whiteside","REGENCY CARE OF STERLING",3143,NA,NA,NA
"4568","IL","Whiteside","RESTHAVE HOME-WHITESIDE COUNTY",994,NA,NA,NA
"4569","IL","Whiteside","ROCK FALLS REHAB & HLTH CARE C",1393,NA,NA,NA
"4570","IL","Whiteside","ROCK RIVER GARDENS",888,NA,NA,NA
"4571","IL","Whiteside","SAUK VALLEY SENIOR LIVING",736,NA,NA,NA
"4572","IL","Whiteside","WINNING WHEELS",459,NA,NA,NA
"4573","IL","Will","ALDEN COURTS OF SHOREWOOD",498,NA,NA,NA
"4574","IL","Will","ALDEN ESTATES OF SHOREWOOD",1671,NA,NA,NA
"4575","IL","Will","APERION CARE WILMINGTON",771,NA,NA,NA
"4576","IL","Will","ASCENSION VILLA FRANCISCAN",3488,NA,NA,NA
"4577","IL","Will","BEECHER MANOR NRSG & REHAB CTR",1875,NA,NA,NA
"4578","IL","Will","FRANKFORT TERRACE",1193,NA,NA,NA
"4579","IL","Will","JOLIET TERRACE",977,NA,NA,NA
"4580","IL","Will","LAKESHORE REHAB & HEALTHCARE",1312,NA,NA,NA
"4581","IL","Will","LAKEWOOD NRSG & REHAB CENTER",1929,NA,NA,NA
"4582","IL","Will","MEADOWBROOK MANOR",6406,NA,NA,NA
"4583","IL","Will","OUR LADY OF ANGELS RET HOME",849,NA,NA,NA
"4584","IL","Will","PARC JOLIET",2476,NA,NA,NA
"4585","IL","Will","SALEM VILLAGE NURSING & REHAB",5123,NA,NA,NA
"4586","IL","Will","SPRING CREEK",3592,NA,NA,NA
"4587","IL","Will","ST JAMES WELLNESS REHAB VILLAS",1531,NA,NA,NA
"4588","IL","Will","SUNNY HILL NURSING HOME OF WILL COUNTY",1616,NA,NA,NA
"4589","IL","Will","SYMPHONY OF JOLIET",4897,NA,NA,NA
"4590","IL","Will","VICTORIAN VILLAGE HLTH & WELL",217,NA,NA,NA
"4591","IL","Williamson","HELIA HEALTHCARE OF ENERGY",1883,NA,NA,NA
"4592","IL","Williamson","INTEGRITY HC OF HERRIN",881,NA,NA,NA
"4593","IL","Williamson","INTEGRITY HC OF MARION",1923,NA,NA,NA
"4594","IL","Williamson","PARKWAY MANOR",2746,NA,NA,NA
"4595","IL","Williamson","SHAWNEE SENIOR LIVING",2782,NA,NA,NA
"4596","IL","Winnebago","ALDEN DEBES REHAB & HCC",5221,NA,NA,NA
"4597","IL","Winnebago","ALDEN PARK STRATHMOOR",2233,728,0,0
"4598","IL","Winnebago","ALPINE FIRESIDE HEALTH CENTER",2217,NA,NA,NA
"4599","IL","Winnebago","AMBERWOOD CARE CENTRE",865,NA,NA,NA
"4600","IL","Winnebago","ASCENSION COR MARIAE VILLAGE",1230,NA,NA,NA
"4601","IL","Winnebago","ASCENSION SAINT ANNE PLACE",4253,NA,NA,NA
"4602","IL","Winnebago","CARRIAGE REHAB & HEALTHCARE",1872,NA,NA,NA
"4603","IL","Winnebago","EAST BANK CENTER, LLC",542,NA,NA,NA
"4604","IL","Winnebago","FAIR OAKS REHAB & HEALTHCARE",928,NA,NA,NA
"4605","IL","Winnebago","FAIRHAVEN CHRISTIAN RET CENTER",-395,NA,NA,NA
"4606","IL","Winnebago","FOREST CITY REHAB & NRSG CTR",1865,NA,NA,NA
"4607","IL","Winnebago","MEDINA NURSING CENTER",558,NA,NA,NA
"4608","IL","Winnebago","PA PETERSON AT THE CITADEL",724,NA,NA,NA
"4609","IL","Winnebago","RIVER BLUFF NURSING HOME",6983,NA,NA,NA
"4610","IL","Winnebago","ROCK RIVER HEALTH CARE",2673,NA,NA,NA
"4611","IL","Winnebago","WILLOWS HEALTH CENTER",1021,NA,NA,NA
"4612","IL","Woodford","APOSTOLIC CHRISTIAN HOME",670,NA,NA,NA
"4613","IL","Woodford","APOSTOLIC CHRISTIAN HOME OF EUREKA",658,NA,NA,NA
"4614","IL","Woodford","EL PASO HEALTH CARE CENTER",1740,NA,NA,NA
"4615","IL","Woodford","HERITAGE HEALTH-EL PASO",662,NA,NA,NA
"4616","IL","Woodford","HERITAGE HEALTH-MINONK",1395,NA,NA,NA
"4617","IL","Woodford","LOFT REHABILITATION & NURSING",1264,NA,NA,NA
"4618","IL","Woodford","SNYDER VILLAGE",750,NA,NA,NA
"4619","IN","Adams","ADAMS WOODCREST",1483,NA,NA,NA
"4620","IN","Adams","CHALET VILLAGE HEALTH AND REHABILITATION CENTER",1759,NA,NA,NA
"4621","IN","Adams","PILGRIM MANOR",1075,NA,NA,NA
"4622","IN","Adams","SWISS VILLAGE",1180,NA,NA,NA
"4623","IN","Allen","ADAMS HERITAGE",812,NA,NA,NA
"4624","IN","Allen","ASHTON CREEK HEALTH AND REHABILITATION CENTER",1277,NA,NA,NA
"4625","IN","Allen","BETHLEHEM WOODS NURSING AND REHABILITATION",1510,NA,NA,NA
"4626","IN","Allen","BYRON HEALTH CENTER",1521,NA,NA,NA
"4627","IN","Allen","CANTERBURY NURSING AND REHABILITATION CENTER",1807,NA,NA,NA
"4628","IN","Allen","CEDARS THE",1284,NA,NA,NA
"4629","IN","Allen","COVENTRY MEADOWS",1414,NA,NA,NA
"4630","IN","Allen","ELEVATE SENIOR LIVING - FORT WAYNE",2494,NA,NA,NA
"4631","IN","Allen","ENGLEWOOD HEALTH & REHABILITATION CENTER",846,NA,NA,NA
"4632","IN","Allen","GLENBROOK REHABILITATION & SKILLED NURSING CENTER",1148,NA,NA,NA
"4633","IN","Allen","GOLDEN YEARS HOMESTEAD",428,NA,NA,NA
"4634","IN","Allen","HERITAGE OF FORT WAYNE, THE",1428,NA,NA,NA
"4635","IN","Allen","HERITAGE PARK",1852,NA,NA,NA
"4636","IN","Allen","KINGSTON CARE CENTER OF FORT WAYNE",1728,NA,NA,NA
"4637","IN","Allen","LIFE CARE CENTER OF FORT WAYNE",3130,NA,NA,NA
"4638","IN","Allen","LUTHERAN LIFE VILLAGES",3904,NA,NA,NA
"4639","IN","Allen","MAJESTIC CARE OF FORT WAYNE",216,NA,NA,NA
"4640","IN","Allen","MAJESTIC CARE OF JEFFERSON POINTE",1420,NA,NA,NA
"4641","IN","Allen","MAJESTIC CARE OF NEW HAVEN",835,NA,NA,NA
"4642","IN","Allen","MAJESTIC CARE OF WEST ALLEN",1063,NA,NA,NA
"4643","IN","Allen","MILLER'S MERRY MANOR",1524,NA,NA,NA
"4644","IN","Allen","SAGE BLUFF HEALTH & REHAB CENTER",1450,NA,NA,NA
"4645","IN","Allen","SAINT ANNE HOME",1228,NA,NA,NA
"4646","IN","Allen","SIGNATURE HEALTHCARE OF FORT WAYNE",473,NA,NA,NA
"4647","IN","Allen","SUMMIT CITY NURSING AND REHABILITATION",1570,350,1,0.003
"4648","IN","Allen","TOWNE HOUSE RETIREMENT COMMUNITY",801,NA,NA,NA
"4649","IN","Allen","UNIVERSITY PARK REHABILITATION AND HEALTHCARE",1370,NA,NA,NA
"4650","IN","Bartholomew","COLUMBUS TRANSITIONAL CARE AND REHABILITATION",4965,NA,NA,NA
"4651","IN","Bartholomew","FOUR SEASONS RETIREMENT CENTER",1930,NA,NA,NA
"4652","IN","Bartholomew","HICKORY CREEK AT COLUMBUS",89,NA,NA,NA
"4653","IN","Bartholomew","MILLER'S MERRY MANOR",991,NA,NA,NA
"4654","IN","Bartholomew","SILVER OAKS HEALTH CAMPUS",1328,NA,NA,NA
"4655","IN","Bartholomew","WILLOW CROSSING HEALTH & REHABILITATION CENTER",1070,NA,NA,NA
"4656","IN","Benton","GREENHILL MANOR",908,NA,NA,NA
"4657","IN","Blackford","BRIDGEWATER REHABILITATION CENTRE",1319,NA,NA,NA
"4658","IN","Blackford","MILLER'S MERRY MANOR",1012,NA,NA,NA
"4659","IN","Boone","ESSEX NURSING AND REHABILITATION CENTER",516,NA,NA,NA
"4660","IN","Boone","HOMEWOOD HEALTH CAMPUS",1296,NA,NA,NA
"4661","IN","Boone","RESTORACY OF WHITESTOWN, THE",1027,NA,NA,NA
"4662","IN","Boone","SIGNATURE HEALTHCARE AT PARKWOOD",1711,NA,NA,NA
"4663","IN","Boone","WATERS OF LEBANON, THE",1227,NA,NA,NA
"4664","IN","Boone","WITHAM EXTENDED CARE",355,NA,NA,NA
"4665","IN","Boone","ZIONSVILLE MEADOWS",4247,NA,NA,NA
"4666","IN","Brown","BROWN COUNTY HEALTH AND LIVING COMMUNITY",706,NA,NA,NA
"4667","IN","Carroll","ST ELIZABETH HEALTHCARE CENTER",634,NA,NA,NA
"4668","IN","Cass","CAMELOT CARE CENTER",389,154,0,0
"4669","IN","Cass","CHASE CENTER",1687,NA,NA,NA
"4670","IN","Cass","MILLER'S MERRY MANOR",1903,NA,NA,NA
"4671","IN","Cass","WOODBRIDGE HEALTH CAMPUS",557,NA,NA,NA
"4672","IN","Clark","CLARK REHABILITATION AND SKILLED NURSING CENTER",907,NA,NA,NA
"4673","IN","Clark","HILLCREST VILLAGE",1703,NA,NA,NA
"4674","IN","Clark","MAPLE MANOR CHRISTIAN HOME INC",462,NA,NA,NA
"4675","IN","Clark","RIVERVIEW VILLAGE",1833,NA,NA,NA
"4676","IN","Clark","SELLERSBURG HEALTHCARE CENTER",681,630,178,0.283
"4677","IN","Clark","WEDGEWOOD HEALTHCARE CENTER",1177,NA,NA,NA
"4678","IN","Clark","WESTMINSTER HEALTH CARE CENTER",1728,NA,NA,NA
"4679","IN","Clay","CLOVERLEAF OF KNIGHTSVILLE",1137,NA,NA,NA
"4680","IN","Clay","HUTSONWOOD AT BRAZIL",2271,NA,NA,NA
"4681","IN","Clinton","CLINTON HOUSE REHABILITATION AND HEALTHCARE CENTER",681,NA,NA,NA
"4682","IN","Clinton","MILNER COMMUNITY HEALTH CARE",953,NA,NA,NA
"4683","IN","Clinton","MULBERRY HEALTH & REHABILITATION CENTER",1189,NA,NA,NA
"4684","IN","Clinton","WESLEY MANOR HEALTH CENTER",703,NA,NA,NA
"4685","IN","Crawford","TODD-DICKEY NURSING AND REHABILITATION",494,NA,NA,NA
"4686","IN","Daviess","BERTHA D GARTEN KETCHAM MEMORIAL CENTER",991,NA,NA,NA
"4687","IN","Daviess","EASTGATE MANOR NURSING AND REHABILITATION",821,NA,NA,NA
"4688","IN","Daviess","HILLSIDE MANOR NURSING HOME",357,NA,NA,NA
"4689","IN","Daviess","PRAIRIE VILLAGE NURSING AND REHABILITATION",654,NA,NA,NA
"4690","IN","Daviess","VILLAGES AT OAK RIDGE, THE",887,NA,NA,NA
"4691","IN","Daviess","WASHINGTON NURSING CENTER",4409,NA,NA,NA
"4692","IN","Dearborn","RIDGEWOOD HEALTH CAMPUS",470,NA,NA,NA
"4693","IN","Dearborn","SHADY NOOK CARE CENTER",1133,NA,NA,NA
"4694","IN","Dearborn","WATERS OF DILLSBORO-ROSS MANOR, THE",2189,NA,NA,NA
"4695","IN","Dearborn","WOODLAND HILLS CARE CENTER",1244,89,0,0
"4696","IN","Decatur","ARBOR GROVE VILLAGE",1195,NA,NA,NA
"4697","IN","Decatur","ASPEN PLACE HEALTH CAMPUS",579,NA,NA,NA
"4698","IN","Decatur","HERITAGE HOUSE OF GREENSBURG",2319,NA,NA,NA
"4699","IN","Decatur","HICKORY CREEK AT GREENSBURG",291,NA,NA,NA
"4700","IN","Decatur","MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE",688,NA,NA,NA
"4701","IN","DeKalb","AUBURN VILLAGE",1887,1207,217,0.18
"4702","IN","DeKalb","BETZ NURSING HOME",1171,NA,NA,NA
"4703","IN","DeKalb","LAURELS OF DEKALB",260,NA,NA,NA
"4704","IN","DeKalb","MILLER'S MERRY MANOR",1018,NA,NA,NA
"4705","IN","Delaware","ALBANY HEALTH CARE & REHABILITATION CENTER",1313,NA,NA,NA
"4706","IN","Delaware","BETHEL POINTE HEALTH AND REHAB",840,NA,NA,NA
"4707","IN","Delaware","BROOKSIDE CARE STRATEGIES",141,NA,NA,NA
"4708","IN","Delaware","GOLDEN LIVING CENTER-MUNCIE",772,NA,NA,NA
"4709","IN","Delaware","LIBERTY VILLAGE",2788,NA,NA,NA
"4710","IN","Delaware","MORRISON WOODS HEALTH CAMPUS",996,NA,NA,NA
"4711","IN","Delaware","SIGNATURE HEALTHCARE OF MUNCIE",1231,NA,NA,NA
"4712","IN","Delaware","WATERS EDGE VILLAGE",983,NA,NA,NA
"4713","IN","Delaware","WATERS OF MUNCIE, THE",1481,NA,NA,NA
"4714","IN","Delaware","WESTMINSTER VILLAGE MUNCIE INC",1232,NA,NA,NA
"4715","IN","Delaware","WILLOWBEND LIVING CENTER",1203,NA,NA,NA
"4716","IN","Delaware","WOODLANDS THE",1880,NA,NA,NA
"4717","IN","Dubois","BROOKSIDE VILLAGE INC",202,NA,NA,NA
"4718","IN","Dubois","CATHEDRAL HEALTH CARE CENTER",1184,NA,NA,NA
"4719","IN","Dubois","GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM",1008,NA,NA,NA
"4720","IN","Dubois","HILDEGARD HEALTH CENTER",14,NA,NA,NA
"4721","IN","Dubois","SCENIC HILLS AT THE MONASTERY",888,NA,NA,NA
"4722","IN","Dubois","SKILLED CARING CENTER OF MEMORIAL HOSPITAL",71,NA,NA,NA
"4723","IN","Dubois","ST CHARLES HEALTH CAMPUS",1335,NA,NA,NA
"4724","IN","Dubois","TIMBERS OF JASPER THE",1368,NA,NA,NA
"4725","IN","Dubois","WATERS OF HUNTINGBURG, THE",2328,NA,NA,NA
"4726","IN","Elkhart","COURTYARD HEALTHCARE CENTER",2095,NA,NA,NA
"4727","IN","Elkhart","EAST LAKE NURSING & REHABILITATION CENTER",1879,NA,NA,NA
"4728","IN","Elkhart","ELKHART MEADOWS",423,NA,NA,NA
"4729","IN","Elkhart","GOLDEN LIVING CENTER-ELKHART",3580,NA,NA,NA
"4730","IN","Elkhart","GREENCROFT HEALTHCARE",1696,NA,NA,NA
"4731","IN","Elkhart","GREENLEAF HEALTH CAMPUS",639,NA,NA,NA
"4732","IN","Elkhart","HUBBARD HILL ESTATES INC",2337,NA,NA,NA
"4733","IN","Elkhart","LAURELS OF GOSHEN, THE",240,NA,NA,NA
"4734","IN","Elkhart","MILLER'S MERRY MANOR",885,NA,NA,NA
"4735","IN","Elkhart","RIVERSIDE VILLAGE",1042,NA,NA,NA
"4736","IN","Elkhart","VALLEY VIEW HEALTHCARE CENTER",-408,NA,NA,NA
"4737","IN","Elkhart","WATERFORD CROSSING",1231,NA,NA,NA
"4738","IN","Elkhart","WOODLAND MANOR",971,NA,NA,NA
"4739","IN","Fayette","CAROLETON HEALTHCARE CENTER",140,NA,NA,NA
"4740","IN","Fayette","HERITAGE HOUSE REHABILITATION & HEALTH CARE CENTER",680,NA,NA,NA
"4741","IN","Fayette","HICKORY CREEK AT CONNERSVILLE",265,NA,NA,NA
"4742","IN","Fayette","MAJESTIC CARE OF CONNERSVILLE",4059,NA,NA,NA
"4743","IN","Floyd","AUTUMN WOODS HEALTH CAMPUS",1024,NA,NA,NA
"4744","IN","Floyd","DIVERSICARE OF PROVIDENCE",3201,NA,NA,NA
"4745","IN","Floyd","GREEN VALLEY CARE CENTER",2018,NA,NA,NA
"4746","IN","Floyd","LINCOLN HILLS OF NEW ALBANY",2492,NA,NA,NA
"4747","IN","Floyd","NEW ALBANY NURSING AND REHABILITATION CENTER",1391,NA,NA,NA
"4748","IN","Floyd","ROLLING HILLS HEALTHCARE CENTER",512,NA,NA,NA
"4749","IN","Floyd","SOUTHERN INDIANA REHABILITATION HOSPITAL - SNF",353,NA,NA,NA
"4750","IN","Floyd","VILLAGES AT HISTORIC SILVERCREST THE",358,NA,NA,NA
"4751","IN","Floyd","VILLAS OF GUERIN WOODS",541,NA,NA,NA
"4752","IN","Fountain","WATERS OF COVINGTON, THE",1203,NA,NA,NA
"4753","IN","Franklin","BROOKVILLE HEALTHCARE CENTER",2868,NA,NA,NA
"4754","IN","Fulton","HICKORY CREEK AT ROCHESTER",631,NA,NA,NA
"4755","IN","Fulton","LIFE CARE CENTER OF ROCHESTER",4103,NA,NA,NA
"4756","IN","Gibson","GOOD SAMARITAN HOME & REHABILITATIVE CENTER",1538,NA,NA,NA
"4757","IN","Gibson","RIVEROAKS HEALTH CAMPUS",970,NA,NA,NA
"4758","IN","Gibson","TRANSCENDENT HEALTHCARE OF OWENSVILLE",692,NA,NA,NA
"4759","IN","Gibson","WATERS OF PRINCETON, THE",1610,NA,NA,NA
"4760","IN","Grant","APERION CARE MARION LLC",2164,NA,NA,NA
"4761","IN","Grant","COLONIAL OAKS HEALTH CARE CENTER",2039,NA,NA,NA
"4762","IN","Grant","MILLER'S MERRY MANOR",5540,NA,NA,NA
"4763","IN","Grant","TWIN CITY HEALTH CARE",1376,NA,NA,NA
"4764","IN","Grant","UNIVERSITY NURSING CENTER",759,NA,NA,NA
"4765","IN","Grant","WESLEYAN HEALTH CARE CENTER",3393,NA,NA,NA
"4766","IN","Greene","GOOD SAMARITAN SOCIETY SHAKAMAK RETIREMENT COMM",994,NA,NA,NA
"4767","IN","Greene","HEALTH CENTER AT GLENBURN HOME",2305,NA,NA,NA
"4768","IN","Hamilton","ALLISONVILLE MEADOWS",2084,NA,NA,NA
"4769","IN","Hamilton","BARRINGTON OF CARMEL, THE",864,NA,NA,NA
"4770","IN","Hamilton","BRIDGEWATER HEALTHCARE CENTER",862,NA,NA,NA
"4771","IN","Hamilton","CARMEL HEALTH & LIVING COMMUNITY",3166,NA,NA,NA
"4772","IN","Hamilton","COPPER TRACE HEALTH & LIVING COMMUNITY",816,NA,NA,NA
"4773","IN","Hamilton","GREEN HOUSE COTTAGES OF CARMEL",521,NA,NA,NA
"4774","IN","Hamilton","HAMILTON TRACE OF FISHERS",946,NA,NA,NA
"4775","IN","Hamilton","HARBOUR MANOR HEALTH & LIVING COMMUNITY",807,NA,NA,NA
"4776","IN","Hamilton","MAJESTIC CARE OF SHERIDAN",225,NA,NA,NA
"4777","IN","Hamilton","MANOR CARE HEALTH SERVICES SUMMER TRACE",480,NA,NA,NA
"4778","IN","Hamilton","MAPLE PARK VILLAGE",704,NA,NA,NA
"4779","IN","Hamilton","MCGIVNEY HEALTH CARE CENTER",220,NA,NA,NA
"4780","IN","Hamilton","PRAIRIE LAKES HEALTH CAMPUS",689,NA,NA,NA
"4781","IN","Hamilton","RETREAT AT THE STRATFORD, THE",232,NA,NA,NA
"4782","IN","Hamilton","RIVERWALK VILLAGE",2081,NA,NA,NA
"4783","IN","Hamilton","WELLBROOKE OF CARMEL",1335,NA,NA,NA
"4784","IN","Hamilton","WELLBROOKE OF WESTFIELD",1093,NA,NA,NA
"4785","IN","Hancock","GOLDEN LIVING CENTER-BRANDYWINE",1392,NA,NA,NA
"4786","IN","Hancock","GREENFIELD HEALTHCARE CENTER",2000,NA,NA,NA
"4787","IN","Hancock","PLEASANT VIEW LODGE",1146,NA,NA,NA
"4788","IN","Hancock","SPRINGHURST HEALTH CAMPUS",949,NA,NA,NA
"4789","IN","Hancock","SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER",647,NA,NA,NA
"4790","IN","Harrison","HARRISON HEALTHCARE CENTER",625,NA,NA,NA
"4791","IN","Harrison","HARRISON SPRINGS HEALTH CAMPUS",705,NA,NA,NA
"4792","IN","Harrison","INDIAN CREEK HEALTHCARE CENTER",332,NA,NA,NA
"4793","IN","Hendricks","AVON HEALTH & REHABILITATION CENTER",1038,NA,NA,NA
"4794","IN","Hendricks","BROOKE KNOLL VILLAGE",1946,NA,NA,NA
"4795","IN","Hendricks","BROWNSBURG HEALTH CARE CENTER",3886,NA,NA,NA
"4796","IN","Hendricks","BROWNSBURG MEADOWS",1674,NA,NA,NA
"4797","IN","Hendricks","COUNTRYSIDE MEADOWS",2023,NA,NA,NA
"4798","IN","Hendricks","CUMBERLAND TRACE HEALTH & LIVING COMMUNITY",388,NA,NA,NA
"4799","IN","Hendricks","DANVILLE REGIONAL REHABILITATION",202,NA,NA,NA
"4800","IN","Hendricks","ENMOTION RECOVERY CARE",845,NA,NA,NA
"4801","IN","Hendricks","MAJESTIC CARE OF AVON",617,NA,NA,NA
"4802","IN","Hendricks","PLAINFIELD HEALTH CARE CENTER",4590,NA,NA,NA
"4803","IN","Henry","GLEN OAKS HEALTH CAMPUS",1025,NA,NA,NA
"4804","IN","Henry","HERITAGE HOUSE OF NEW CASTLE",2196,NA,NA,NA
"4805","IN","Henry","HICKORY CREEK AT NEW CASTLE",175,NA,NA,NA
"4806","IN","Henry","MIDDLETOWN NURSING AND REHABILITATION CENTER",1200,NA,NA,NA
"4807","IN","Henry","MILLER'S MERRY MANOR",1553,NA,NA,NA
"4808","IN","Henry","STONEBROOKE REHABILITATION CENTER",1921,NA,NA,NA
"4809","IN","Henry","WATERS OF NEW CASTLE, THE",1098,NA,NA,NA
"4810","IN","Howard","APERION CARE KOKOMO",2216,NA,NA,NA
"4811","IN","Howard","CENTURY VILLA HEALTH CARE",1384,NA,NA,NA
"4812","IN","Howard","GOLDEN LIVING CENTER-SYCAMORE VILLAGE",783,NA,NA,NA
"4813","IN","Howard","KOKOMO HEALTHCARE CENTER",347,NA,NA,NA
"4814","IN","Howard","NORTH WOODS VILLAGE",2551,NA,NA,NA
"4815","IN","Howard","WATERFORD PLACE HEALTH CAMPUS",1877,NA,NA,NA
"4816","IN","Howard","WELLBROOKE OF KOKOMO",997,NA,NA,NA
"4817","IN","Huntington","HERITAGE OF HUNTINGTON",898,NA,NA,NA
"4818","IN","Huntington","HERITAGE POINTE",3187,NA,NA,NA
"4819","IN","Huntington","HICKORY CREEK AT HUNTINGTON",255,NA,NA,NA
"4820","IN","Huntington","MILLER'S MERRY MANOR",988,NA,NA,NA
"4821","IN","Huntington","OAKBROOK VILLAGE",936,NA,NA,NA
"4822","IN","Jackson","COVERED BRIDGE HEALTH CAMPUS",1396,NA,NA,NA
"4823","IN","Jackson","HOOSIER CHRISTIAN VILLAGE",446,NA,NA,NA
"4824","IN","Jackson","LUTHERAN COMMUNITY HOME",988,NA,NA,NA
"4825","IN","Jackson","SEYMOUR CROSSING",1570,NA,NA,NA
"4826","IN","Jasper","APERION CARE DEMOTTE",1009,NA,NA,NA
"4827","IN","Jasper","OAK GROVE CHRISTIAN RETIREMENT VILLAGE",524,NA,NA,NA
"4828","IN","Jasper","RENSSELAER CARE CENTER",3705,NA,NA,NA
"4829","IN","Jay","MILLER'S MERRY MANOR",173,NA,NA,NA
"4830","IN","Jay","PERSIMMON RIDGE REHABILITATION CENTRE",2381,NA,NA,NA
"4831","IN","Jefferson","HANOVER NURSING CENTER",632,NA,NA,NA
"4832","IN","Jefferson","HICKORY CREEK AT MADISON",163,NA,NA,NA
"4833","IN","Jefferson","RIVER TERRACE HEALTH CAMPUS",675,NA,NA,NA
"4834","IN","Jefferson","THORNTON TERRACE HEALTH CAMPUS",614,NA,NA,NA
"4835","IN","Jefferson","WATERS OF CLIFTY FALLS, THE",3279,NA,NA,NA
"4836","IN","Jennings","MAJESTIC CARE OF NORTH VERNON",1068,NA,NA,NA
"4837","IN","Johnson","ASPEN TRACE HEALTH & LIVING COMMUNITY",422,NA,NA,NA
"4838","IN","Johnson","FRANKLIN MEADOWS",1256,NA,NA,NA
"4839","IN","Johnson","GREENWOOD HEALTH AND LIVING COMMUNITY",1484,NA,NA,NA
"4840","IN","Johnson","GREENWOOD HEALTHCARE CENTER",396,984,2,0.002
"4841","IN","Johnson","GREENWOOD MEADOWS",2764,NA,NA,NA
"4842","IN","Johnson","GREENWOOD VILLAGE SOUTH",1164,NA,NA,NA
"4843","IN","Johnson","HICKORY CREEK AT FRANKLIN",448,NA,NA,NA
"4844","IN","Johnson","HOMEVIEW CENTER OF FRANKLIN",1317,NA,NA,NA
"4845","IN","Johnson","INDIANA MASONIC HOME HEALTH CENTER",1079,NA,NA,NA
"4846","IN","Johnson","OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE",3293,NA,NA,NA
"4847","IN","Knox","BRIDGEPOINTE HEALTH CAMPUS",1088,NA,NA,NA
"4848","IN","Knox","FREELANDVILLE COMMUNITY HOME",928,NA,NA,NA
"4849","IN","Knox","GENTLECARE OF VINCENNES",1136,NA,NA,NA
"4850","IN","Knox","LODGE OF THE WABASH",726,NA,NA,NA
"4851","IN","Knox","OAK VILLAGE",988,NA,NA,NA
"4852","IN","Knox","WILLOW MANOR",1224,NA,NA,NA
"4853","IN","Kosciusko","GRACE VILLAGE HEALTH CARE FACILITY",1803,NA,NA,NA
"4854","IN","Kosciusko","MASON HEALTH CARE CENTER",1380,NA,NA,NA
"4855","IN","Kosciusko","MILLER'S MERRY MANOR",3572,NA,NA,NA
"4856","IN","Kosciusko","PADDOCK SPRINGS",390,NA,NA,NA
"4857","IN","Kosciusko","WARSAW MEADOWS",1582,NA,NA,NA
"4858","IN","LaGrange","LIFE CARE CENTER OF LAGRANGE",2195,NA,NA,NA
"4859","IN","LaGrange","MILLER'S MERRY MANOR",1462,NA,NA,NA
"4860","IN","Lake","APERION CARE TOLLESTON PARK",4231,NA,NA,NA
"4861","IN","Lake","CEDAR CREEK HEALTH CAMPUS",317,NA,NA,NA
"4862","IN","Lake","COLONIAL NURSING HOME",787,NA,NA,NA
"4863","IN","Lake","CROWN POINT CHRISTIAN VILLAGE",1787,NA,NA,NA
"4864","IN","Lake","DYER NURSING AND REHABILITATION CENTER",2595,NA,NA,NA
"4865","IN","Lake","GOLDEN LIVING CENTER-MERRILLVILLE",2421,NA,NA,NA
